resultId,raceId,driverId,constructorId,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3
990,64,21,4,2.0,5,6.0,6,6,3.0,67,24.8,5296493.0,18.0,8.0,01:17.0,213.902,1,989,2,5,1:15.916,1:14.540,1:14.894
991,64,15,7,8.0,20,7.0,7,7,2.0,67,26.5,5298193.0,48.0,5.0,01:16.8,214.386,1,997,8,13,1:15.430,1:15.150,
992,64,32,9,15.0,12,8.0,8,8,1.0,67,48.1,5319793.0,49.0,12.0,01:17.7,211.87,1,996,15,12,1:15.816,1:15.141,
993,64,23,7,7.0,8,9.0,9,9,0.0,67,60.3,5331993.0,64.0,4.0,01:16.8,214.509,1,992,7,8,1:15.789,1:14.743,1:15.923
994,64,24,5,20.0,16,10.0,10,10,0.0,66,,,51.0,10.0,01:17.4,212.724,11,1001,20,17,1:16.399,,
995,64,14,9,14.0,10,11.0,11,11,0.0,66,,,24.0,13.0,01:17.8,211.62,11,994,14,10,1:15.836,1:14.826,1:16.326
996,64,26,5,21.0,19,12.0,12,12,0.0,66,,,50.0,11.0,01:17.5,212.606,11,1006,21,22,,,
997,64,17,3,9.0,11,,R,13,0.0,59,,,43.0,6.0,01:16.8,214.372,47,995,9,11,1:15.719,1:15.094,
998,64,11,8,22.0,17,,R,14,0.0,38,,,26.0,19.0,01:19.4,207.351,6,1003,22,19,1:17.185,,
999,64,35,2,17.0,13,,R,15,0.0,30,,,29.0,17.0,01:18.9,208.689,3,998,17,14,1:16.281,1:15.329,
1000,64,22,11,11.0,6,,R,16,0.0,18,,,16.0,14.0,01:18.0,211.029,5,990,11,6,1:15.757,1:14.652,1:14.934
1001,64,2,2,16.0,15,,R,17,0.0,9,,,3.0,18.0,01:19.3,207.741,23,1000,16,16,1:16.234,1:15.397,
1002,64,37,1,4.0,9,,R,18,0.0,2,,,2.0,20.0,01:19.6,206.737,48,993,4,9,1:15.655,1:15.021,1:15.936
1003,64,29,8,23.0,22,,R,19,0.0,1,,,,,,,30,1005,23,21,1:20.444,,
1004,64,3,3,10.0,14,,R,20,0.0,0,,,,,,,3,999,10,15,1:16.183,1:15.380,
1005,64,27,13,19.0,21,,D,21,0.0,66,,,35.0,15.0,01:18.2,210.441,2,1002,19,18,1:17.093,,
